ax,ay,az,gx,gy,gz,id
-0.969093,-9.60957,-1.9657,0.53318,-5.20224,-2.47627,4
-0.922433,-9.59401,-1.97168,0.60318,-5.07974,-2.43252,4
-0.898504,-9.58445,-1.98126,0.56818,-4.68599,-2.31002,4
-0.879362,-9.59401,-1.98604,0.64693,-4.14349,-2.06502,4
-0.880558,-9.59162,-1.98365,0.734429,-3.50474,-1.82877,4
-0.970289,-9.57966,-1.92742,0.55943,-1.9385,-0.953772,4
-1.00857,-9.60598,-1.90229,0.454431,-1.85975,-0.708772,4
-1.04686,-9.62871,-1.91545,0.288181,-1.956,-0.542521,4
-1.03848,-9.63708,-1.8999,0.226931,-2.17475,-0.507523,4
-1.0337,-9.63708,-1.88435,0.314431,-2.45475,-0.533772,4
-1.03729,-9.61675,-1.88913,0.253181,-2.6735,-0.568772,4
-1.01695,-9.62512,-1.8999,-0.000568032,-2.91849,-0.586272,4
-0.994217,-9.6323,-1.90828,-0.175568,-3.0235,-0.665023,4
-0.957129,-9.64426,-1.93819,-0.210567,-2.94475,-0.822522,4
-0.937986,-9.65384,-1.92861,-0.166818,-2.66474,-1.02377,4
-0.999003,-9.61196,-1.90349,-0.0968177,-1.82475,-1.46127,4
-1.01336,-9.61914,-1.90469,-0.184317,-1.78975,-1.49627,4
-1.04327,-9.64786,-1.90229,-0.289317,-1.886,-1.61002,4
-1.05284,-9.667,-1.90349,-0.298067,-2.10475,-1.76752,4
-1.06361,-9.64307,-1.90828,-0.0530678,-2.3585,-1.89877,4
-1.04207,-9.61076,-1.9011,-0.0530678,-2.6035,-2.03002,4
-1.02054,-9.60837,-1.91785,-0.201817,-2.87475,-2.01252,4
-1.00498,-9.62751,-1.92502,-0.368067,-2.9885,-2.05627,0
-0.985843,-9.64786,-1.94656,-0.368067,-2.95349,-2.05627,0
-0.945164,-9.667,-1.95374,-0.341817,-2.87475,-2.10002,0
-0.9667,-9.55095,-1.9334,-0.403067,-2.6735,-2.47627,0
-0.96311,-9.59641,-1.9346,-0.796816,-2.75225,-2.39752,0
-0.929611,-9.68375,-1.98365,-0.980565,-2.71725,-2.32752,0
-0.902094,-9.69691,-1.98126,-0.744316,-2.52475,-2.33627,0
-0.881755,-9.67537,-1.95374,-0.359317,-2.201,-2.32752,0
-0.861416,-9.69571,-1.95374,-0.149318,-1.781,-2.11752,0
-0.888933,-9.72084,-1.98485,0.305681,-1.291,-1.81127,0
-0.914058,-9.66341,-1.95852,0.918179,-0.774752,-1.70627,0
-0.922433,-9.53778,-1.92502,1.15443,-0.337253,-1.59252,0
-0.9667,-9.50189,-1.89631,0.734429,-0.0660048,-1.34752,0
-1.02772,-9.56889,-1.91545,-1.10306,0.0477448,-1.31252,0
-1.03609,-9.55095,-1.90229,-1.59306,-0.0922542,-1.47877,0
-1.05523,-9.56889,-1.89272,-2.14431,-0.468503,-1.75002,0
-1.03011,-9.63708,-1.9322,-2.65181,-0.914752,-2.00377,0
-1.00857,-9.65503,-1.94536,-2.69556,-1.3435,-2.44127,0
-1.00379,-9.61196,-1.95733,-2.51181,-1.77225,-2.90502,0
-0.983449,-9.58923,-1.97527,-2.54681,-2.271,-3.22876,0
-0.957129,-9.64307,-1.94895,-0.656816,-0.407254,0.446224,0
-0.837487,-9.60479,-2.0339,-0.324317,-0.328502,1.82872,0
-0.850648,-9.62034,-2.02672,-0.429317,-0.354753,1.82872,0
-0.853041,-9.66101,-2.05184,-0.481817,-0.354753,1.74997,0
-0.854237,-9.64786,-2.05543,-0.289317,-0.354753,1.67997,0
-0.868594,-9.62153,-2.065,-0.0793178,-0.276003,1.59247,0
-0.870987,-9.58564,-2.07099,-0.0793178,-0.284753,1.47872,0
-0.874576,-9.61316,-2.0674,-0.123068,-0.337253,1.36497,0
-0.869791,-9.68853,-2.07458,-0.411817,-0.346003,1.25122,0
-0.876969,-9.73639,-2.08893,-0.289317,-0.293503,1.02372,0
-0.878165,-9.7663,-2.08893,1.46068,0.240245,0.288725,0
-0.874576,-9.64546,-2.04467,2.22193,0.607744,0.0262256,0
-0.882951,-9.5677,-2.00758,2.37943,0.782743,-0.0262742,0
-0.899701,-9.54855,-1.99202,2.10818,0.861493,0.0699759,0
-0.921236,-9.54018,-1.98963,1.80193,0.931493,0.148725,0
-0.927218,-9.52702,-1.97049,1.31193,0.887743,0.131225,0
-0.940379,-9.53419,-1.97168,0.81318,0.826493,0.236225,0
-0.929611,-9.57487,-1.96929,0.183181,0.660244,0.244975,0
-0.923629,-9.59521,-1.97288,-0.131818,0.458994,0.192475,0
-0.922433,-9.63828,-1.9669,-0.306817,0.222744,0.0699759,0
-0.885344,-9.67178,-1.99442,0.0519317,-0.433503,-0.743773,0
-0.876969,-9.63828,-1.99681,0.288181,-0.634753,-1.05877,0
-0.860219,-9.61914,-2.00159,0.279431,-0.836003,-1.20752,0
-0.841076,-9.61555,-2.00638,0.165682,-1.00225,-1.24252,0
-0.80997,-9.59521,-2.01954,0.226931,-1.0285,-1.05877,0
-0.789631,-9.53539,-2.00638,0.393181,-0.932251,-0.848772,0
-0.769292,-9.51146,-1.98604,0.209431,-0.888502,-0.490023,0
-0.756131,-9.54137,-2.00279,-0.306817,-0.836003,0.0174756,0
-0.811166,-9.56889,-2.00758,-0.586816,-0.739752,0.472475,0
-0.80997,-9.57966,-1.99681,-0.630566,-0.704752,0.761223,0
-0.786041,-9.67776,-2.04825,0.296931,-0.556002,0.927473,0
-0.794416,-9.59641,-2.01834,0.69068,-0.416003,0.804973,0
-0.796809,-9.58564,-2.01954,0.436931,-0.346003,0.778723,0
-0.794416,-9.60598,-2.03031,0.253181,-0.232254,0.734973,0
-0.794416,-9.60479,-2.0315,0.235681,-0.0572543,0.551224,0
-0.813559,-9.59043,-2.03031,0.270681,0.0652456,0.586224,0
-0.832702,-9.59401,-2.01595,0.0869318,0.152745,0.708724,0
-0.836291,-9.5988,-2.02672,0.0781817,0.205245,0.874973,0
-0.837487,-9.61196,-2.02313,0.183181,0.187745,1.05872,0
-0.836291,-9.61675,-2.0327,0.340681,0.222744,1.25997,0
-0.843469,-9.63948,-2.04706,0.61193,0.213995,1.49622,0
-0.847059,-9.63828,-2.0327,0.75193,0.248995,1.46122,0
-0.851844,-9.63708,-2.03988,0.918179,0.292745,1.36497,0
-0.867398,-9.6335,-2.03988,1.05818,0.336495,1.35622,0
-0.881755,-9.64187,-2.03629,1.16318,0.310245,1.32997,0
-0.87338,-9.63111,-2.02074,1.13693,0.257745,1.25997,0
-0.876969,-9.62871,-2.02074,1.14568,0.205245,1.19872,0
-0.872184,-9.63948,-2.00518,1.03193,0.196495,1.11997,0
-0.885344,-9.65623,-1.99681,1.01443,0.222744,1.00622,0
-0.87338,-9.64546,-1.98604,1.02318,0.205245,0.866223,0
-0.891326,-9.57966,-1.95015,0.86568,0.257745,0.647474,0
-0.898504,-9.58804,-1.96451,0.58568,0.135245,0.629974,0
-0.904486,-9.58923,-1.97647,0.349431,0.0127454,0.629974,0
-0.911665,-9.59401,-1.97288,0.113182,-0.101004,0.647474,0
-0.916451,-9.6012,-1.97767,0.0256819,-0.197254,0.673724,0
-0.921236,-9.63469,-1.98365,-0.184317,-0.381004,0.682474,0
-0.909272,-9.64307,-1.99202,-0.210567,-0.538502,0.699974,0
-0.892522,-9.64546,-2.00159,-0.123068,-0.626003,0.586224,0
-0.88654,-9.62871,-1.99561,-0.018068,-0.661003,0.419975,0
-0.879362,-9.62512,-2.0004,0.0344319,-0.669753,0.262475,0
-0.860219,-9.60957,-2.01834,0.0781817,-0.494752,-0.00877428,0
-0.85663,-9.60359,-2.01356,0.104432,-0.451004,-2.43187e-05,0
-0.860219,-9.60598,-2.02552,0.121932,-0.354753,0.0437255,0
-0.861416,-9.61675,-2.0327,0.156932,-0.267253,0.113725,0
-0.862612,-9.6012,-2.02672,0.235681,-0.197254,0.131225,0
-0.869791,-9.60598,-2.01715,0.218181,-0.171004,0.131225,0
-0.867398,-9.65025,-2.00518,0.0869318,-0.284753,0.262475,0
-0.884147,-9.6646,-2.03749,0.183181,-0.337253,0.288725,0
-0.924825,-9.62153,-2.00279,0.61193,-0.494752,0.314975,0
-0.911665,-9.56052,-2.00997,0.70818,-0.748502,0.349975,0
-0.798006,-9.70289,-2.10449,0.0694318,-0.424754,0.489974,0
-0.832702,-9.72323,-2.09372,0.340681,0.170245,0.157475,0
-0.802791,-9.84407,-2.07697,0.53318,0.668993,-0.385024,0
-0.769292,-10.1157,-2.12602,0.786929,1.31649,-1.86377,0
-0.72981,-10.4183,-2.15713,1.59193,2.34899,-5.38126,0
-0.756131,-10.7186,-2.17268,2.72942,3.81898,-11.69,0
-0.744167,-11.2199,-2.18943,3.56067,5.54273,-20.7287,0
-0.848255,-11.5825,-2.32702,4.54067,7.87897,-32.9787,0
-0.848255,-11.7176,-2.30548,7.45441,10.3027,-46.6899,1
-1.0672,-11.4377,-2.34496,10.7882,12.8927,-60.3748,1
-1.17368,-10.6349,-2.17866,14.3931,16.8477,-88.961,1
-1.01336,-10.4602,-2.11765,15.8369,17.3027,-94.3335,1
-0.885344,-10.0833,-2.04945,17.5869,17.5914,-97.6323,1
-0.714257,-9.60718,-1.92622,19.0481,17.3464,-98.5247,1
-0.376869,-9.33798,-1.77428,19.1269,16.3577,-97.3435,1
-0.040678,-9.25064,-1.73719,17.9631,15.1415,-94.9372,1
0.247657,-9.07956,-1.68335,17.3594,14.0477,-91.446,1
0.48335,-8.84267,-1.58405,17.4469,12.954,-86.721,1
0.721436,-8.68834,-1.46919,17.0881,11.6152,-80.7798,1
0.997807,-8.64287,-1.45244,15.9419,10.0227,-74.3835,1
1.65105,-8.55434,-1.21555,12.2406,5.16648,-55.1599,1
1.84128,-8.63928,-1.23948,10.3769,3.52149,-48.8599,1
1.99083,-8.65603,-1.24905,9.2744,2.15649,-42.7961,1
2.08415,-8.63689,-1.18684,8.61816,1.02774,-36.9424,1
2.14875,-8.64407,-1.1677,7.46316,-0.171004,-31.0887,1
2.2014,-8.65842,-1.17607,6.13316,-1.40475,-25.2524,1
2.24686,-8.64766,-1.15932,5.02192,-2.61224,-19.5912,1
2.25165,-8.61655,-1.1677,3.84067,-3.79349,-13.8862,1
2.28634,-8.61774,-1.1677,2.51943,-4.97474,-8.12875,1
2.2995,-8.65962,-1.21436,1.26818,-6.05099,-2.26627,1
2.28395,-8.67517,-1.30289,-1.74181,-8.49223,14.7087,1
2.18824,-8.55314,-1.3005,-2.45056,-9.14848,20.6062,1
2.07458,-8.5005,-1.29811,-3.58806,-9.93598,26.8974,1
1.96929,-8.52443,-1.33639,-4.83055,-10.7497,33.4249,1
1.86879,-8.56151,-1.35793,-6.0293,-11.6335,40.0136,1
1.7336,-8.56151,-1.36989,-7.05305,-12.4297,46.6286,1
1.60917,-8.62612,-1.38544,-8.12054,-13.331,53.1298,1
1.48833,-8.7314,-1.4321,-9.30178,-14.1185,59.4123,1
1.4345,-8.92881,-1.52782,-10.2818,-14.7047,65.2223,1
1.40339,-9.31406,-1.59123,-11.673,-15.186,69.4748,1
0.978664,-9.32363,-1.61515,-14.9368,-15.011,74.7335,1
0.868594,-9.6012,-1.72762,-16.4855,-14.8272,75.6435,1
0.79322,-9.94576,-1.87238,-17.1768,-14.3722,75.5735,1
0.731007,-10.1767,-1.9334,-16.9493,-13.5672,74.0947,1
0.626919,-10.2628,-1.94417,-16.5118,-12.4647,71.4697,1
0.465404,-10.2604,-1.95852,-15.9168,-11.2835,68.1273,1
0.267996,-10.2963,-1.98126,-15.1643,-10.216,64.1898,1
0.119641,-10.4578,-2.02074,-14.2543,-9.22723,59.7186,1
0.026321,-10.6134,-2.09252,-12.723,-8.15973,54.5823,1
-0.087338,-10.6409,-2.1332,-10.3693,-6.98723,48.8773,1
-0.378066,-10.4064,-2.13679,-4.21806,-3.63599,31.5699,1
-0.501296,-10.2963,-2.10808,-2.73056,-2.78725,26.3811,1
-0.610169,-10.2293,-2.11406,-1.60181,-2.0785,21.7437,1
-0.687936,-10.1515,-2.12841,-0.560566,-1.52725,17.7012,1
-0.760917,-10.0427,-2.0997,0.305681,-1.10725,14.1487,1
-0.79322,-9.94935,-2.08295,0.85693,-0.853502,11.2174,1
-0.792024,-9.95414,-2.07458,1.04943,-0.696002,8.85495,1
-0.807577,-9.96849,-2.08056,1.24193,-0.459753,6.77246,1
-0.82313,-9.9314,-2.0674,1.74943,-0.249753,4.82996,1
-0.819541,-9.84885,-2.03509,2.24817,-0.0310044,3.06247,1
-0.770488,-9.77467,-1.97527,2.00318,-0.022254,-0.945022,1
-0.752542,-9.74476,-1.97168,1.93318,-0.0572543,-1.95127,1
-0.731007,-9.68016,-1.95972,1.87193,-0.0135045,-2.78252,1
-0.734596,-9.58325,-1.94656,1.73193,0.00399542,-3.33376,1
