ax,ay,az,gx,gy,gz,id
1.36391,-5.24267,8.62492,-71.9797,-9.31767,5.02096,3
1.3005,-5.39462,8.5675,-62.031,-8.22393,4.56596,3
1.26341,-5.9665,8.60339,-47.0335,-5.88769,3.62096,3
1.25025,-6.84706,8.5974,-22.9361,-2.04645,2.14222,3
1.32443,-8.1655,8.33539,16.4475,2.88854,0.768471,3
1.49192,-9.22672,7.95015,77.2861,8.12978,1.14472,3
1.54337,-8.67637,7.77428,143.777,11.9535,0.514721,3
1.52901,-7.69531,7.6319,210.872,16.1097,-0.640275,3
1.45005,-5.59681,7.72403,263.704,19.706,-1.62027,3
1.1653,0.0358923,9.28415,282.972,25.0435,-3.51027,3
1.00259,1.34716,9.79142,256.319,23.7835,-3.93027,3
0.909272,2.34616,10.1862,203.881,20.4672,-4.52526,3
0.833898,2.68833,10.3657,139.428,15.7073,-5.22526,3
0.727417,2.72303,10.3011,70.0323,10.1598,-5.96026,3
0.708275,2.43589,10.0917,6.61257,4.50728,-6.17901,3
0.792024,1.51466,9.97926,-40.8035,0.692296,-5.55776,3
0.817148,0.528813,10.1109,-72.3909,-2.81644,-4.77901,3
0.812363,-0.404387,10.2688,-88.0709,-5.52894,-4.06152,3
0.866201,-1.11984,10.2784,-88.5434,-6.61393,-2.65277,3
0.93679,-1.87478,9.91585,-43.7873,-4.97769,3.13971,3
0.982253,-1.75155,9.81775,-26.7161,-3.74394,4.60971,3
0.971485,-1.48594,9.76989,-14.7286,-2.60645,5.76471,3
0.970289,-0.975075,9.76391,-13.2236,-2.30894,6.30721,3
0.957129,-0.333799,9.80219,-26.3486,-2.98269,6.4822,3
0.952343,0.00478564,9.79142,-49.4135,-4.66269,6.9722,3
0.994217,-0.247657,9.71366,-76.2497,-6.27268,7.5147,3
0.988235,-1.10548,9.61675,-99.8134,-7.59393,7.9522,3
0.999003,-2.31266,9.59043,-114.522,-8.46018,7.85595,3
1.03609,-3.38943,9.56889,-116.368,-8.32893,7.10345,3
1.19402,-5.0979,9.49591,-55.6785,-5.13519,4.39971,3
1.26102,-5.06441,9.39541,-25.0711,-3.21019,3.40221,3
1.25743,-4.74616,9.32602,4.08383,-1.31145,2.50972,3
1.23589,-4.25922,9.28415,28.12,-0.112701,1.66972,3
1.24427,-3.92183,9.24347,48.21,1.68104,1.21472,3
1.24666,-3.46361,9.28056,61.9387,3.22104,0.610971,3
1.20957,-3.0006,9.35115,69.3411,4.41104,-0.141527,3
1.1342,-2.64287,9.44925,72.1586,5.62728,-0.605276,3
1.066,-2.30309,9.50189,70.6886,6.51103,-1.15652,3
