timestamp,ax,ay,az,gx,gy,gz,TARGET
1949963,-0.784845,-9.016151,-1.968095,6.024269,45.087447,-1.468381,8
1949973,-1.420139,-9.245861,-1.801794,7.188105,64.041324,0.973047,8
1949983,-2.173878,-9.157326,-1.469193,9.402016,79.171176,2.259391,8
1949993,-2.859422,-8.719440,-1.097108,10.565853,89.890718,2.950692,8
1950003,-3.354735,-8.769688,-0.872184,8.561951,96.891241,4.315792,8
1950013,-3.676570,-9.123829,-0.744167,6.453051,101.170290,5.164602,8
1950023,-3.829710,-9.117844,-0.563509,6.374296,103.331661,4.727072,8
1950033,-3.972083,-9.102291,-0.388834,6.348045,104.189241,4.482054,8
1950043,-4.147955,-9.397804,-0.289531,5.893011,103.664207,4.718321,8
1950052,-4.405184,-9.473179,-0.163908,5.893011,103.664207,4.718321,8
1950062,-5.929411,-9.585640,1.000199,7.100601,95.902405,2.565663,8
1950077,-5.929411,-9.585640,1.000199,9.402016,85.261631,-0.435805,8
1950087,-7.001394,-9.280556,1.501495,8.640709,67.209048,-4.557356,8
1950097,-7.127016,-8.809170,1.661814,6.374296,44.369903,-7.681332,8
1950107,-6.843470,-8.760117,1.703689,2.970298,21.119447,-9.081436,8
1950117,-6.675970,-8.931206,1.543369,0.371357,-0.923413,-9.676476,8
1950127,-6.223728,-8.955132,1.281355,-0.267439,-21.487412,-9.781487,8
1950137,-5.575272,-9.055630,0.954736,-0.599963,-39.531236,-9.090183,8
1950147,-4.945961,-9.065205,0.477368,-0.538709,-54.074817,-7.978855,8
1950157,-4.231705,-9.023327,-0.081356,0.231348,-64.111757,-6.403740,8
1950168,-3.535393,-9.010166,-0.482153,0.922648,-69.152131,-4.338591,8
1950177,-3.092721,-8.997005,-0.703489,1.246422,-69.808412,-2.465953,8
1950188,-3.064008,-8.963509,-0.725025,1.141414,-68.303313,-1.022098,8
1950198,-3.036489,-8.882153,-0.701097,0.476366,-66.054416,-0.269543,8
